WKT;rasterval
LINESTRING (16.3784 48.2697,16.3781 48.2704);Stooßgasse
LINESTRING (16.3791 48.2125,16.3781 48.2127);Obere Donaustraße
LINESTRING (16.3781 48.2653,16.3787 48.2645);Donauuferautobahn
LINESTRING (16.3781 48.2136,16.3785 48.2135,16.3786 48.2137);Gredlerstraße
LINESTRING (16.3781 48.1442,16.3794 48.1467,16.3796 48.1468);Murbangasse
LINESTRING (16.3781 48.1917,16.3792 48.1919);Belvederegasse
LINESTRING (16.3782 48.1747,16.3787 48.1732);Reumannplatz
LINESTRING (16.3782 48.2149,16.3801 48.2145);Negerlegasse
LINESTRING (16.3788 48.2158,16.3782 48.2149);Lilienbrunngasse
LINESTRING (16.3786 48.2452,16.3782 48.2456);Friedrich-Engels-Platz
LINESTRING (16.3795 48.1981,16.3782 48.1985);Strohgasse
LINESTRING (16.3795 48.2157,16.3782 48.216);Kleine Sperlgasse
LINESTRING (16.3782 48.216,16.3782 48.2166);Große Sperlgasse
LINESTRING (16.3782 48.2171,16.3782 48.2166);Große Sperlgasse
LINESTRING (16.3785 48.2195,16.3782 48.2171);Große Sperlgasse
LINESTRING (16.3793 48.1662,16.3782 48.1664);Hebbelplatz
LINESTRING (16.3788 48.2376,16.3782 48.2381);Dresdner Straße
LINESTRING (16.3782 48.2381,16.3784 48.2382);Winarskystraße
LINESTRING (16.3782 48.2166,16.3806 48.2163);Karmelitergasse
LINESTRING (16.3787 48.2477,16.3783 48.2482);Wehlistraße
LINESTRING (16.3789 48.2646,16.3783 48.2653);Donauuferautobahn
LINESTRING (16.3783 48.276,16.3787 48.2751);Mörthgasse
LINESTRING (16.3783 48.2991,16.381 48.2977,16.3832 48.2951,16.3843 48.2944);Kaingasse
LINESTRING (16.3783 48.2293,16.3797 48.2297);Kunzgasse
LINESTRING (16.3783 48.1721,16.379 48.1722);Schröttergasse
LINESTRING (16.3783 48.2005,16.3784 48.2004);Marokkanergasse
LINESTRING (16.3792 48.2011,16.3783 48.2005);Am Heumarkt
LINESTRING (16.3787 48.1797,16.3784 48.1813);Scheugasse
LINESTRING (16.3784 48.2382,16.3786 48.2383);Winarskystraße
LINESTRING (16.3786 48.2082,16.3784 48.2078);Postgasse
LINESTRING (16.3784 48.2004,16.3789 48.2001);Marokkanergasse
LINESTRING (16.3792 48.152,16.3784 48.1504);Malmögasse
LINESTRING (16.3785 48.1272,16.3794 48.1273);Wiener Außenring Schnellstraße
LINESTRING (16.3785 48.2204,16.3787 48.2205);Obere Augartenstraße
LINESTRING (16.3785 48.2927,16.3791 48.2918,16.3792 48.2894);Stowassergasse
LINESTRING (16.3785 48.2927,16.3792 48.2929);Dirnelstraße
LINESTRING (16.3785 48.2441,16.3788 48.2441,16.3795 48.2437);Friedrich-Engels-Platz
LINESTRING (16.3785 48.2441,16.3798 48.2447);Adalbert-Stifter-Straße
LINESTRING (16.3802 48.2194,16.3799 48.2193,16.3785 48.2195);Kleine Pfarrgasse
LINESTRING (16.379 48.2202,16.3785 48.2195);Große Sperlgasse
LINESTRING (16.3786 48.2082,16.3786 48.2087,16.379 48.2092);Postgasse
LINESTRING (16.3795 48.1829,16.3793 48.1823,16.3785 48.1819);Rieplstraße
LINESTRING (16.3785 48.2424,16.3802 48.2408);Leystraße
LINESTRING (16.3785 48.2424,16.3791 48.2435);Marchfeldstraße
LINESTRING (16.3786 48.2383,16.3789 48.2385);Winarskystraße
LINESTRING (16.3786 48.2797,16.3793 48.2781);Bussardgasse
LINESTRING (16.3787 48.214,16.3786 48.2137);Schoellerhofgasse
LINESTRING (16.3787 48.2999,16.3789 48.2999);Langenzersdorfer Straße
LINESTRING (16.3786 48.2082,16.3787 48.2082);Bäckerstraße
LINESTRING (16.3786 48.1732,16.379 48.1722);Favoritenstraße
LINESTRING (16.3787 48.1732,16.3786 48.1732);Reumannplatz
LINESTRING (16.3805 48.2793,16.3786 48.2797);Tschechowgasse
LINESTRING (16.3795 48.2066,16.3786 48.2057);Parkring
LINESTRING (16.3786 48.2024,16.3799 48.2018);Johannesgasse
LINESTRING (16.3786 48.1688,16.3789 48.1676,16.3793 48.1674);Rissaweggasse
LINESTRING (16.3824 48.2748,16.3811 48.2759,16.3814 48.2761,16.3815 48.2763,16.3802 48.277,16.3786 48.2775);Wolsteingasse
LINESTRING (16.383 48.2793,16.3799 48.2787,16.3786 48.2775);Schlossergasse
LINESTRING (16.3786 48.2005,16.3793 48.201);Am Heumarkt
LINESTRING (16.3789 48.1626,16.3787 48.1616);Bechergasse
LINESTRING (16.3789 48.2147,16.3787 48.214);Schoellerhofgasse
LINESTRING (16.3787 48.1887,16.3792 48.1879);Mommsengasse
LINESTRING (16.3808 48.189,16.3787 48.1887);Weyringergasse
LINESTRING (16.3787 48.2082,16.3788 48.2082);Bäckerstraße
LINESTRING (16.3787 48.1747,16.3799 48.1745);Reumannplatz
LINESTRING (16.3788 48.1753,16.3787 48.1747);Wielandgasse
LINESTRING (16.3787 48.2118,16.3787 48.2117);Schwedenbrücke
LINESTRING (16.3788 48.2026,16.3788 48.2029);Wienflußeinwölbung
LINESTRING (16.3794 48.1713,16.3787 48.1712);Gellertgasse
LINESTRING (16.3791 48.1722,16.3787 48.1732);Favoritenstraße
LINESTRING (16.3792 48.1734,16.3787 48.1732);Reumannplatz
LINESTRING (16.3787 48.2117,16.3811 48.2114);Franz-Josefs-Kai
LINESTRING (16.3789 48.1791,16.3787 48.1797);Humboldtplatz
LINESTRING (16.3796 48.1798,16.3787 48.1797);Keplergasse
LINESTRING (16.3791 48.1982,16.3787 48.1977);Auenbruggergasse
LINESTRING (16.3803 48.246,16.3787 48.2477);Wehlistraße
LINESTRING (16.3787 48.2477,16.3791 48.2478);Aignerstraße
LINESTRING (16.3791 48.2125,16.3787 48.2118);Schwedenbrücke
LINESTRING (16.3787 48.2645,16.3798 48.2631);Donauuferautobahn
LINESTRING (16.3787 48.165,16.3793 48.1662);Schleiergasse
LINESTRING (16.3788 48.2077,16.3791 48.2076);Wollzeile
LINESTRING (16.3791 48.2027,16.3788 48.2026);Wienflußeinwölbung
LINESTRING (16.3801 48.1752,16.3788 48.1753);Quellenstraße
LINESTRING (16.3788 48.1753,16.3788 48.1755);Wielandgasse
LINESTRING (16.3801 48.1438,16.3788 48.1413);Doerenkampgasse
LINESTRING (16.3788 48.2886,16.3798 48.2879);Arnimgasse
LINESTRING (16.3792 48.2894,16.3788 48.2886);Stowassergasse
LINESTRING (16.3788 48.2116,16.3788 48.2118);Schwedenbrücke
LINESTRING (16.3795 48.2369,16.3788 48.2376);Dresdner Straße
LINESTRING (16.3788 48.2376,16.3795 48.2369);Dresdner Straße
LINESTRING (16.3788 48.199,16.3792 48.199);Zaunergasse
LINESTRING (16.3788 48.199,16.3796 48.1995);Traungasse
LINESTRING (16.3788 48.2082,16.3791 48.2081);Bäckerstraße
LINESTRING (16.3792 48.1879,16.3788 48.1878);Wiedner Gürtel
LINESTRING (16.3788 48.1755,16.3789 48.1763);Wielandgasse
LINESTRING (16.3788 48.2118,16.3792 48.2124);Schwedenbrücke
LINESTRING (16.3791 48.1779,16.3789 48.1791);Scheugasse
LINESTRING (16.3789 48.1791,16.3798 48.1792);Ordengasse
LINESTRING (16.3801 48.2972,16.3803 48.297,16.3801 48.2972);Helene-Richter-Gasse
LINESTRING (16.3801 48.2972,16.3789 48.2976);Helene-Richter-Gasse
LINESTRING (16.3789 48.2091,16.3797 48.2087);Predigergasse
LINESTRING (16.3801 48.2391,16.3789 48.2401);Pasettistraße
LINESTRING (16.3817 48.2415,16.3789 48.2401);Stromstraße
LINESTRING (16.3789 48.2001,16.3796 48.1995);Marokkanergasse
LINESTRING (16.3806 48.2013,16.3789 48.2001);Ölzeltgasse
LINESTRING (16.3829 48.2717,16.3789 48.2708);Audorfgasse
LINESTRING (16.3803 48.2711,16.3789 48.2739);Wildnergasse
LINESTRING (16.379 48.2092,16.3789 48.21);Postgasse
LINESTRING (16.381 48.262,16.3789 48.2646);Donauuferautobahn
LINESTRING (16.3789 48.2999,16.3826 48.2988,16.3841 48.2986,16.3849 48.2981);Langenzersdorfer Straße
LINESTRING (16.3789 48.2116,16.3794 48.2114,16.3792 48.2105,16.3789 48.21);Postgasse
LINESTRING (16.3789 48.2385,16.3791 48.2385);Winarskystraße
LINESTRING (16.3791 48.1528,16.3789 48.1524,16.3794 48.1523,16.3795 48.1527);Rädda-Barnen-Platz
LINESTRING (16.3802 48.1762,16.3789 48.1763);Wielandplatz
LINESTRING (16.3789 48.1763,16.379 48.1769);Wielandplatz
LINESTRING (16.3799 48.1785,16.3797 48.1786,16.3789 48.1786);Uhlandgasse
LINESTRING (16.379 48.1722,16.3794 48.1713);Favoritenstraße
LINESTRING (16.3792 48.2191,16.379 48.2187);Alexander-Poch-Platz
LINESTRING (16.3798 48.2093,16.379 48.2092);Barbaragasse
LINESTRING (16.3794 48.2929,16.379 48.293,16.3791 48.2932,16.3795 48.2931,16.3794 48.2929);Prager Straße
LINESTRING (16.379 48.1769,16.3803 48.1768);Wielandplatz
LINESTRING (16.379 48.1769,16.3792 48.1779);Wielandgasse
LINESTRING (16.379 48.2553,16.3807 48.2534,16.3832 48.2511);Treppelweg
LINESTRING (16.379 48.2075,16.3791 48.2076);Stubenbastei
LINESTRING (16.3799 48.1681,16.3791 48.1675);Klausenburger Straße
LINESTRING (16.3791 48.2125,16.3791 48.2125);Schwedenbrücke
LINESTRING (16.3791 48.1975,16.3795 48.1981);Veithgasse
LINESTRING (16.3799 48.1681,16.3791 48.1703);Rechberggasse
LINESTRING (16.3791 48.1703,16.3798 48.1704);Inzersdorfer Straße
LINESTRING (16.3791 48.1814,16.3819 48.1825,16.3847 48.1839);Alfred-Adler-Straße
LINESTRING (16.3792 48.2438,16.3791 48.2435);Marchfeldstraße
LINESTRING (16.3791 48.2435,16.3794 48.2436);Marchfeldstraße
LINESTRING (16.3792 48.208,16.3791 48.2081);Bäckerstraße
LINESTRING (16.3791 48.2125,16.3791 48.2125);Obere Donaustraße
LINESTRING (16.3793 48.2128,16.3791 48.2125);Taborstraße
LINESTRING (16.3791 48.2385,16.3793 48.2387);Winarskystraße
LINESTRING (16.3791 48.2076,16.38 48.2073);Dr.-Karl-Lueger-Platz
LINESTRING (16.3795 48.1535,16.3791 48.1528);Anders-Zorn-Weg
LINESTRING (16.3791 48.2884,16.3806 48.2893);Stöhrgasse
LINESTRING (16.3814 48.2779,16.3791 48.2774);Salamandergasse
LINESTRING (16.3814 48.2784,16.3791 48.278);Amselgasse
LINESTRING (16.3794 48.1713,16.3791 48.1722);Favoritenstraße
LINESTRING (16.3791 48.1722,16.3801 48.1725);Waldgasse
LINESTRING (16.3831 48.2124,16.381 48.2124,16.3791 48.2125);Untere Donaustraße
LINESTRING (16.3792 48.2194,16.3792 48.2191);Alexander-Poch-Platz
LINESTRING (16.3792 48.1779,16.3805 48.1778);Gudrunstraße
LINESTRING (16.3792 48.2124,16.3792 48.2125);Schwedenbrücke
LINESTRING (16.3792 48.152,16.3794 48.1523);Malmögasse
LINESTRING (16.3792 48.1879,16.3793 48.1877);Mommsengasse
LINESTRING (16.3807 48.1883,16.3792 48.1879);Wiedner Gürtel
LINESTRING (16.3826 48.287,16.3792 48.2894);Miklosichgasse
LINESTRING (16.3806 48.2911,16.3792 48.2908);Laresgasse
LINESTRING (16.3792 48.1813,16.3799 48.1785,16.3805 48.1778);Sonnwendgasse
LINESTRING (16.3792 48.2386,16.3804 48.2376);Meldemannstraße
LINESTRING (16.3793 48.1664,16.3792 48.1662);Hebbelplatz
LINESTRING (16.3792 48.1544,16.3792 48.1564);Stinygasse
LINESTRING (16.38 48.1552,16.3792 48.156);Fingergasse
LINESTRING (16.3792 48.1573,16.3792 48.1577);Stinygasse
LINESTRING (16.3792 48.1829,16.3795 48.1829);Rieplstraße
LINESTRING (16.3792 48.2125,16.3793 48.2128);Taborstraße
LINESTRING (16.3792 48.1571,16.3792 48.1573);Stinygasse
LINESTRING (16.3792 48.1565,16.3792 48.1571);Stinygasse
LINESTRING (16.3792 48.199,16.3794 48.199);Zaunergasse
LINESTRING (16.3814 48.226,16.3792 48.2243);Saal-Allee
LINESTRING (16.3792 48.1564,16.3792 48.1565);Stinygasse
LINESTRING (16.3795 48.1561,16.3792 48.1561);Fingergasse
LINESTRING (16.3792 48.1734,16.3816 48.1709);Bürgergasse
LINESTRING (16.3796 48.1737,16.3792 48.1734);Reumannplatz
LINESTRING (16.3793 48.154,16.3792 48.1544);Stinygasse
LINESTRING (16.3799 48.2018,16.3792 48.2011);Am Heumarkt
LINESTRING (16.3792 48.2011,16.38 48.2016);Am Heumarkt
LINESTRING (16.3792 48.2929,16.3824 48.2883);Prager Straße
LINESTRING (16.3792 48.208,16.3793 48.208);Bäckerstraße
LINESTRING (16.3798 48.2898,16.3792 48.2893);Kallbrunnergasse
LINESTRING (16.3793 48.2126,16.3801 48.2126,16.3803 48.2127);Praterstraße
LINESTRING (16.3794 48.1668,16.3793 48.1664);Hebbelplatz
LINESTRING (16.3793 48.1877,16.3812 48.1883);Wiedner Gürtel
LINESTRING (16.3793 48.2107,16.38 48.2105);Auwinkel
LINESTRING (16.3793 48.1674,16.38 48.1679);Klausenburger Straße
LINESTRING (16.3793 48.2355,16.3805 48.2361);Kampstraße
LINESTRING (16.3793 48.1662,16.3807 48.1662);Schleiergasse
LINESTRING (16.3793 48.2387,16.3801 48.2391);Winarskystraße
LINESTRING (16.3793 48.208,16.3794 48.2079);Bäckerstraße
LINESTRING (16.3793 48.2128,16.3799 48.2141);Taborstraße
LINESTRING (16.3808 48.1699,16.3793 48.1696);Angeligasse
LINESTRING (16.3794 48.1713,16.3797 48.1703);Favoritenstraße
LINESTRING (16.3793 48.201,16.3798 48.2007);Lagergasse
LINESTRING (16.3793 48.201,16.3802 48.2016);Am Heumarkt
LINESTRING (16.3794 48.199,16.3797 48.199);Zaunergasse
LINESTRING (16.3794 48.1273,16.3815 48.1274);Wiener Außenring Schnellstraße
LINESTRING (16.3811 48.2112,16.3794 48.2114);Franz-Josefs-Kai
LINESTRING (16.3794 48.1876,16.3807 48.1879);O, 18
LINESTRING (16.3804 48.2074,16.3794 48.2079);Dr.-Karl-Lueger-Platz
LINESTRING (16.3794 48.2079,16.38 48.2087);Dominikanerbastei
LINESTRING (16.3818 48.2824,16.3794 48.2853);Autokaderstraße
LINESTRING (16.3794 48.2853,16.3808 48.2859);Scheydgasse
LINESTRING (16.3811 48.2759,16.3794 48.2767);Voltelinistraße
LINESTRING (16.3795 48.1671,16.3794 48.1668);Hebbelplatz
LINESTRING (16.3807 48.1879,16.3794 48.1875);Quartier Belvedere
LINESTRING (16.3794 48.1808,16.3812 48.181);Vally-Weigl-Gasse
LINESTRING (16.3798 48.1704,16.3794 48.1713);Favoritenstraße
LINESTRING (16.3799 48.1704,16.3794 48.1713);Favoritenstraße
LINESTRING (16.3818 48.1724,16.3808 48.1717,16.3794 48.1713);Gellertgasse
LINESTRING (16.3794 48.1723,16.3801 48.1725,16.3809 48.173);Waldgasse
LINESTRING (16.3814 48.2901,16.3794 48.2929);Prager Straße
LINESTRING (16.3794 48.248,16.3803 48.2484);Aignersteg
LINESTRING (16.3817 48.2415,16.3794 48.2436);Vorgartenstraße
LINESTRING (16.3794 48.2436,16.3795 48.2437);Friedrich-Engels-Platz
LINESTRING (16.3794 48.1876,16.3807 48.188);Quartier Belvedere
LINESTRING (16.3795 48.2931,16.381 48.2938);Mayerweckstraße
LINESTRING (16.3795 48.2437,16.3806 48.2442);Friedrich-Engels-Platz
LINESTRING (16.3795 48.1671,16.3803 48.1673);Alpengasse
LINESTRING (16.3797 48.2161,16.3795 48.2165);Karmeliterplatz
LINESTRING (16.3795 48.1829,16.3796 48.183);Gombrichgasse
LINESTRING (16.3797 48.2064,16.3795 48.2066);Zedlitzgasse
LINESTRING (16.3795 48.2066,16.3796 48.2067);Parkring
LINESTRING (16.3796 48.1981,16.3795 48.1981);Strohgasse
LINESTRING (16.38 48.2156,16.3795 48.2157);Karmeliterplatz
LINESTRING (16.3824 48.267,16.3795 48.2648);Teslagasse
LINESTRING (16.3795 48.2795,16.3799 48.2787);Fuchsensteig
LINESTRING (16.3798 48.1561,16.3795 48.1561);Fingergasse
LINESTRING (16.3795 48.2752,16.3801 48.2742);Luschingasse
LINESTRING (16.3795 48.2369,16.3815 48.2352);Dresdner Straße
LINESTRING (16.3814 48.2379,16.3795 48.2369);Hellwagstraße
LINESTRING (16.3796 48.1981,16.3795 48.199);Veithgasse
LINESTRING (16.3813 48.1832,16.3806 48.1836,16.3811 48.1851,16.3805 48.1855,16.3796 48.1873);Karl-Popper-Straße
LINESTRING (16.3796 48.1737,16.3809 48.173);Laaer-Berg-Straße
LINESTRING (16.3799 48.1745,16.3796 48.1737);Reumannplatz
LINESTRING (16.3796 48.1995,16.3803 48.199);Marokkanergasse
LINESTRING (16.3796 48.1995,16.3807 48.2001);Traungasse
LINESTRING (16.3852 48.1984,16.3796 48.1981);Strohgasse
LINESTRING (16.3803 48.169,16.3796 48.1689);Troststraße
LINESTRING (16.3796 48.1798,16.3815 48.1802);Hackergasse
LINESTRING (16.3825 48.1462,16.3796 48.1468);Bahnlände
LINESTRING (16.3796 48.2151,16.3802 48.215);Lassingleithnerplatz
LINESTRING (16.3796 48.2067,16.38 48.207);Parkring
LINESTRING (16.3824 48.267,16.3806 48.268,16.3797 48.2693);Christian-Bucher-Gasse
LINESTRING (16.3797 48.2693,16.3837 48.2702,16.3854 48.2699);Überfuhrstraße
LINESTRING (16.3797 48.2087,16.3798 48.2093);Dominikanerbastei
LINESTRING (16.3797 48.2172,16.3797 48.2186);Rotenkreuzgasse
LINESTRING (16.3797 48.1703,16.38 48.1697);Favoritenstraße
LINESTRING (16.3797 48.2136,16.3808 48.2133);Durchhaus Taborstraße 6
LINESTRING (16.3797 48.218,16.3808 48.218);Haidgasse
LINESTRING (16.3812 48.1713,16.3797 48.1709);Staudiglgasse
LINESTRING (16.3813 48.2464,16.3797 48.2479);Handelskai
LINESTRING (16.3797 48.199,16.3799 48.199);Zaunergasse
LINESTRING (16.3805 48.2072,16.3797 48.2064);Parkring
LINESTRING (16.3798 48.1792,16.3819 48.1793,16.3822 48.1803,16.3813 48.1822);Antonie-Alt-Gasse
LINESTRING (16.3811 48.1481,16.3798 48.1483);Olaus-Petri-Gasse
LINESTRING (16.3798 48.1483,16.3801 48.1493);Upsalagasse
LINESTRING (16.3806 48.2001,16.3798 48.2007);Lagergasse
LINESTRING (16.3798 48.2447,16.3806 48.2451);Floridsdorfer Brücke
LINESTRING (16.3798 48.2879,16.3816 48.2863);Praschnikerweg
LINESTRING (16.3858 48.1729,16.3798 48.1741);Puchsbaumgasse
LINESTRING (16.3799 48.1785,16.3799 48.1778);Sonnwendgasse
LINESTRING (16.3798 48.2138,16.381 48.2136);Durchhaus Taborstraße 8
LINESTRING (16.3798 48.2631,16.3854 48.2564);Donauuferautobahn
LINESTRING (16.3798 48.2879,16.3801 48.288);Bonitzgasse
LINESTRING (16.3811 48.1674,16.3798 48.1704);Favoritenstraße
LINESTRING (16.3798 48.1704,16.3814 48.1708);Kennergasse
LINESTRING (16.3799 48.2097,16.3798 48.2093);Dominikanerbastei
LINESTRING (16.38 48.1558,16.38 48.1561,16.3798 48.1561);Fingergasse
LINESTRING (16.3798 48.302,16.384 48.2988,16.3841 48.2986);Fillenbaumgasse
LINESTRING (16.3851 48.3013,16.3845 48.3013,16.3816 48.3018);Am Bisamberg
LINESTRING (16.3814 48.3018,16.3798 48.302);Am Bisamberg
LINESTRING (16.3798 48.302,16.3799 48.302);Klausgraben
LINESTRING (16.3799 48.199,16.3803 48.199);Zaunergasse
LINESTRING (16.3799 48.1869,16.3813 48.1873);Am Belvedere
LINESTRING (16.3799 48.2141,16.3812 48.2138);Durchhaus Taborstraße 10
LINESTRING (16.3799 48.2141,16.3799 48.2141);Taborstraße
LINESTRING (16.3799 48.2141,16.3804 48.2158);Taborstraße
LINESTRING (16.3811 48.2114,16.3813 48.2099,16.3811 48.2093,16.3799 48.2077);Biberstraße
LINESTRING (16.38 48.1403,16.3799 48.1401);Steg an der Kaistraße
LINESTRING (16.3799 48.2097,16.38 48.2105);Dominikanerbastei
LINESTRING (16.3799 48.1681,16.38 48.1679);Rechberggasse
LINESTRING (16.38 48.2087,16.3799 48.2097);Dominikanerbastei
LINESTRING (16.3802 48.1652,16.3799 48.1661,16.3804 48.1662);Hentzigasse
LINESTRING (16.3799 48.1745,16.3895 48.173);Buchengasse
LINESTRING (16.3801 48.1752,16.3799 48.1745);Herndlgasse
LINESTRING (16.3799 48.2018,16.3801 48.2018);Johannesgasse
LINESTRING (16.3831 48.2045,16.3829 48.2041,16.3799 48.2018);Am Heumarkt
LINESTRING (16.3799 48.2097,16.3822 48.2089);Rosenbursenstraße
LINESTRING (16.3802 48.1698,16.3799 48.1704);Favoritenstraße
LINESTRING (16.3815 48.2082,16.38 48.2087);Falkestraße
LINESTRING (16.3805 48.2453,16.38 48.2449);Floridsdorfer Brücke
LINESTRING (16.38 48.2016,16.3801 48.2018);Am Heumarkt
LINESTRING (16.38 48.2103,16.3812 48.2107);Wiesingerstraße
LINESTRING (16.3804 48.2158,16.38 48.2156);Karmeliterplatz
LINESTRING (16.38 48.2814,16.3817 48.281,16.3826 48.2805,16.3831 48.2805);Brunner-Lehenstein-Gasse
LINESTRING (16.38 48.2105,16.38 48.2115);Dominikanerbastei
LINESTRING (16.3811 48.1488,16.38 48.149);Lundgasse
LINESTRING (16.3809 48.1275,16.38 48.1274);Wiener Außenring Schnellstraße
LINESTRING (16.38 48.2549,16.382 48.2557);Nordbrücke
LINESTRING (16.3808 48.219,16.38 48.2195);Obere Augartenstraße
LINESTRING (16.38 48.2195,16.3814 48.2228);Castellezgasse
LINESTRING (16.38 48.2073,16.3802 48.2072);Dr.-Karl-Lueger-Platz
LINESTRING (16.38 48.1557,16.38 48.1558);Fingergasse
LINESTRING (16.3812 48.154,16.38 48.1552,16.38 48.1557);Fingergasse
LINESTRING (16.3803 48.199,16.3805 48.1976,16.38 48.1972);Marokkanergasse
LINESTRING (16.3812 48.1401,16.3801 48.1404);Kaistraße
LINESTRING (16.3801 48.1404,16.3816 48.1435);Mühlstraße
LINESTRING (16.3801 48.2391,16.3814 48.2379);Pasettistraße
LINESTRING (16.3827 48.2405,16.3801 48.2391);Winarskystraße
LINESTRING (16.3801 48.288,16.3803 48.2879);Jiricekgasse
LINESTRING (16.3814 48.2888,16.3801 48.288);Bonitzgasse
LINESTRING (16.3814 48.1751,16.3801 48.1752);Quellenstraße
LINESTRING (16.3802 48.1762,16.3801 48.1752);Herndlgasse
LINESTRING (16.3801 48.2346,16.3815 48.2352);Donaueschingenstraße
LINESTRING (16.3801 48.1493,16.3803 48.1498);Stockholmer Platz
LINESTRING (16.3803 48.1498,16.3805 48.1503,16.3809 48.1503,16.3809 48.1498,16.3803 48.1498);Stockholmer Platz
LINESTRING (16.3801 48.2018,16.3806 48.2013);Salesianergasse
LINESTRING (16.3808 48.2014,16.3801 48.2018);Beatrixgasse
LINESTRING (16.3801 48.2018,16.3832 48.2044);Am Heumarkt
LINESTRING (16.3828 48.1407,16.3802 48.1407);An der Hölle
LINESTRING (16.3802 48.1652,16.3803 48.1649);Hentzigasse
LINESTRING (16.3826 48.1656,16.3802 48.1652);Hebbelgasse
LINESTRING (16.3802 48.2072,16.3805 48.2072);Dr.-Karl-Lueger-Platz
LINESTRING (16.3804 48.2074,16.3802 48.2072);Stubenring
LINESTRING (16.3809 48.2547,16.3802 48.2545);Steinitzsteg
LINESTRING (16.3829 48.176,16.3802 48.1762);Pernerstorfergasse
LINESTRING (16.3803 48.1768,16.3802 48.1762);Wielandplatz
LINESTRING (16.3802 48.2042,16.3806 48.2039);Stadtparksteg
LINESTRING (16.3802 48.14,16.3809 48.1397,16.3829 48.1391);Marizaweg
LINESTRING (16.3802 48.2408,16.3814 48.2397);Leystraße
LINESTRING (16.3816 48.2773,16.3802 48.277);Brachsengasse
LINESTRING (16.3803 48.2742,16.3817 48.2714);Wettsteingasse
LINESTRING (16.3803 48.2742,16.3824 48.2748);Josef-Türk-Gasse
LINESTRING (16.3803 48.1552,16.3816 48.1552);Fingergasse
LINESTRING (16.3803 48.1673,16.3807 48.1662);Weldengasse
LINESTRING (16.3803 48.1673,16.381 48.1674);Alpengasse
LINESTRING (16.3803 48.2281,16.3827 48.2249);Lampigasse
LINESTRING (16.3805 48.2282,16.3803 48.2281);Rabbiner-Schneerson-Platz
LINESTRING (16.3803 48.2879,16.3819 48.2866);Jiricekgasse
LINESTRING (16.3803 48.2127,16.3804 48.2124);Große Mohrengasse
LINESTRING (16.3803 48.2127,16.3819 48.2147,16.3824 48.2159);Große Mohrengasse
LINESTRING (16.3803 48.2127,16.3826 48.2137,16.3829 48.2137);Praterstraße
LINESTRING (16.3803 48.199,16.381 48.199);Zaunergasse
LINESTRING (16.3832 48.2668,16.3803 48.2645);Amperegasse
LINESTRING (16.3803 48.1768,16.383 48.1766,16.3883 48.1757);Erlachgasse
LINESTRING (16.3805 48.1778,16.3803 48.1768);Herndlgasse
LINESTRING (16.3806 48.2457,16.3803 48.246);Wehlistraße
LINESTRING (16.3824 48.1498,16.3809 48.1498,16.3803 48.15);Stockholmer Platz
LINESTRING (16.381 48.1827,16.3804 48.1836);Gerhard-Bronner-Straße
LINESTRING (16.3804 48.2158,16.3806 48.2163);Taborstraße
LINESTRING (16.3824 48.2159,16.3804 48.2158);Schmelzgasse
LINESTRING (16.3807 48.2073,16.3804 48.2074);Dr.-Karl-Lueger-Platz
LINESTRING (16.3825 48.2108,16.382 48.209,16.3804 48.2074);Stubenring
LINESTRING (16.3806 48.2282,16.3805 48.2282);Rabbiner-Schneerson-Platz
LINESTRING (16.3807 48.2861,16.3805 48.2863);Marksteinergasse
LINESTRING (16.3805 48.2072,16.3815 48.207);Weiskirchnerstraße
LINESTRING (16.3807 48.2073,16.3805 48.2072);Stubenring
LINESTRING (16.3805 48.1778,16.3825 48.1777);Gudrunstraße
LINESTRING (16.3819 48.2339,16.3805 48.2348);Universumstraße
LINESTRING (16.3805 48.2361,16.3818 48.2368);Kampstraße
LINESTRING (16.3805 48.2282,16.3808 48.2284);Rabbiner-Schneerson-Platz
LINESTRING (16.3806 48.2797,16.3807 48.2789);Puschkingasse
LINESTRING (16.3813 48.3125,16.3808 48.3126);Senderstraße
LINESTRING (16.3917 48.2507,16.382 48.2462,16.3805 48.2453);Floridsdorfer Brücke
LINESTRING (16.3805 48.2283,16.3806 48.2282);Rabbiner-Schneerson-Platz
LINESTRING (16.381 48.2279,16.3806 48.2282);Rabbiner-Schneerson-Platz
LINESTRING (16.3806 48.2451,16.3821 48.2461,16.3884 48.249);Floridsdorfer Brücke
LINESTRING (16.3806 48.2207,16.3815 48.2205);Große Stadtgutgasse
LINESTRING (16.3816 48.169,16.3808 48.1699,16.3806 48.1705);Friedrich-Knauer-Gasse
LINESTRING (16.3806 48.2282,16.381 48.2281);Rabbiner-Schneerson-Platz
LINESTRING (16.3829 48.242,16.3806 48.2442);Engerthstraße
LINESTRING (16.3806 48.2442,16.3826 48.2451);Friedrich-Engels-Platz
LINESTRING (16.3806 48.1416,16.3839 48.1416,16.3861 48.1412);Remystraße
LINESTRING (16.3806 48.2163,16.3808 48.218);Taborstraße
LINESTRING (16.3806 48.2163,16.3817 48.2178,16.383 48.2202);Glockengasse
LINESTRING (16.3815 48.207,16.3807 48.2073);Weiskirchnerstraße
LINESTRING (16.3827 48.2107,16.3822 48.2089,16.3807 48.2073);Stubenring
LINESTRING (16.3807 48.1662,16.3811 48.1653);Weldengasse
LINESTRING (16.3807 48.1662,16.3827 48.1666);Schleiergasse
