WKT;rasterval
LINESTRING (16.2135 48.1876,16.2138 48.1869,16.2155 48.1858);Pulverstampfstraße
LINESTRING (16.2143 48.2095,16.2136 48.2094);Kielmannseggbrücke
LINESTRING (16.2139 48.1594,16.2143 48.1588,16.2196 48.1557);Gütenbachstraße
LINESTRING (16.2139 48.1594,16.214 48.1594);Elisabethbrücke
LINESTRING (16.214 48.2445,16.2155 48.2456,16.2174 48.2462,16.2196 48.2474,16.22 48.2482,16.2193 48.249);Roßkopfgasse
LINESTRING (16.214 48.1594,16.2166 48.1589,16.2175 48.1583,16.2187 48.1577,16.2191 48.1577,16.2211 48.1582,16.2235 48.1585,16.2268 48.1603,16.2303 48.1609);Schlossergassl
LINESTRING (16.2145 48.2095,16.2143 48.2095);Hauptstraße
LINESTRING (16.2172 48.2101,16.2157 48.2096,16.2145 48.2095);Hauptstraße
LINESTRING (16.2159 48.2068,16.215 48.2069,16.2146 48.2065);Richard-Kuhn-Weg
LINESTRING (16.2147 48.2062,16.2155 48.2057,16.2188 48.2045);Hofjägerstraße
LINESTRING (16.2198 48.2467,16.2199 48.2464,16.2176 48.2449,16.2176 48.2448,16.2187 48.2438,16.2187 48.2436,16.2177 48.2434,16.2168 48.2433,16.2158 48.2435,16.2149 48.2432,16.2148 48.2428,16.2159 48.2429,16.2171 48.2427,16.2207 48.2425,16.2208 48.2426,16.2208 48.2442,16.2216 48.2444,16.2226 48.2443,16.2228 48.2444,16.223 48.245,16.2238 48.2455,16.2257 48.2458,16.2289 48.2468,16.2294 48.2469,16.2306 48.2466);Sofienalpenstraße
LINESTRING (16.2154 48.2115,16.2155 48.212);Dr.-Heinrich-Müller-Gasse
LINESTRING (16.2184 48.2484,16.2155 48.2472,16.2155 48.247,16.217 48.2467,16.2169 48.246);Hainbachgasse
LINESTRING (16.2188 48.2485,16.219 48.248,16.2183 48.2474,16.2163 48.2463,16.2156 48.2463);Laskywiesengasse
LINESTRING (16.2181 48.1818,16.2172 48.1809,16.2157 48.1804);Pulverstampfstraße
LINESTRING (16.2157 48.1857,16.2171 48.1853,16.219 48.1845,16.2192 48.1842,16.2191 48.1824,16.2182 48.1818);Pulverstampfstraße
LINESTRING (16.2159 48.2068,16.2195 48.2061);Zimbagasse
LINESTRING (16.2164 48.2079,16.2159 48.2068);Wolfgang-Pauli-Gasse
LINESTRING (16.2163 48.2029,16.2185 48.2036);Westautobahn
LINESTRING (16.2196 48.2074,16.2164 48.2079);Albert-Schweitzer-Gasse
LINESTRING (16.2167 48.2114,16.2176 48.2111);Loudonstraße
LINESTRING (16.2193 48.2123,16.2167 48.2114);Buchbergstraße
LINESTRING (16.2185 48.2127,16.2175 48.213,16.2169 48.2131);Erdburgweg
LINESTRING (16.2171 48.2108,16.2223 48.2107);Bahnstraße
LINESTRING (16.2172 48.2093,16.2172 48.209);Ha-Wei-Brücke
LINESTRING (16.2178 48.2093,16.2172 48.2093,16.2172 48.2101);Bahnstraße
LINESTRING (16.224 48.209,16.223 48.2093,16.2213 48.2095,16.2181 48.2102,16.2172 48.2101);Hauptstraße
LINESTRING (16.2172 48.2101,16.2173 48.2106);Bahnstraße
LINESTRING (16.2173 48.2106,16.22 48.2103);Josef-Prokop-Straße
LINESTRING (16.2176 48.2106,16.2176 48.2109);Loudonsteg
LINESTRING (16.2176 48.2111,16.2199 48.2109,16.2201 48.2108);Loudonstraße
LINESTRING (16.2182 48.1818,16.2181 48.1818);Stadlbodenbrücke
LINESTRING (16.2186 48.124,16.2186 48.124);Kaltenleutgebner Straße
LINESTRING (16.2193 48.2123,16.2185 48.2127);Erdburgweg
LINESTRING (16.2185 48.2036,16.2205 48.204);Westautobahn
LINESTRING (16.2186 48.124,16.221 48.1248);Kaltenleutgebner Straße
LINESTRING (16.2193 48.249,16.219 48.2491,16.2188 48.2485);Hainbachgasse
LINESTRING (16.2188 48.2116,16.2199 48.2118,16.22 48.2113,16.2211 48.2111);Dr.-Heckmann-Straße
LINESTRING (16.2192 48.2043,16.2188 48.2045);Hofjägerstraße
LINESTRING (16.2191 48.2031,16.2189 48.2);Magazinstraße
LINESTRING (16.219 48.1845,16.2206 48.1845,16.2232 48.1849,16.2237 48.1851);Roten Ziegelstraße
LINESTRING (16.2195 48.2061,16.2193 48.2044);Johann-Schorsch-Gasse
LINESTRING (16.2198 48.2041,16.2192 48.2043);Hofjägerstraße
LINESTRING (16.2214 48.2046,16.2198 48.2043,16.2193 48.2044);Johann-Schorsch-Gasse
LINESTRING (16.2205 48.2061,16.2195 48.2061);Jacobsgasse
LINESTRING (16.2195 48.2061,16.2196 48.2074);Johann-Schorsch-Gasse
LINESTRING (16.2218 48.2072,16.2196 48.2074);Albert-Schweitzer-Gasse
LINESTRING (16.2196 48.2167,16.2199 48.2162);Mauerbachstraße
LINESTRING (16.2196 48.1557,16.2198 48.1556);Gütenbachbrücke 1
LINESTRING (16.2197 48.2467,16.2198 48.2467);Sofienalpenstraße
LINESTRING (16.2198 48.1556,16.2214 48.1544);Gütenbachstraße
LINESTRING (16.221 48.2119,16.2199 48.2118);Dr.-Heckmann-Straße
LINESTRING (16.2199 48.2162,16.2212 48.2149,16.2231 48.2136);Mauerbachstraße
LINESTRING (16.22 48.2103,16.2222 48.2102);Josef-Prokop-Straße
LINESTRING (16.2204 48.2108,16.2219 48.2117);Postgasse
LINESTRING (16.2205 48.204,16.2231 48.2043);Westautobahn
LINESTRING (16.2205 48.2061,16.2222 48.206);Jacobsgasse
LINESTRING (16.2206 48.2073,16.2205 48.2061);Scheringgasse
LINESTRING (16.2211 48.1371,16.2214 48.1371);Hauptstraße
LINESTRING (16.2326 48.2026,16.2322 48.2031,16.2291 48.2025,16.2281 48.2025,16.2259 48.2019,16.2211 48.2038,16.2206 48.2038);Hofjägerstraße
LINESTRING (16.2207 48.1359,16.2233 48.136);Zangerlestraße
LINESTRING (16.221 48.1248,16.2242 48.1251,16.2254 48.1255,16.2274 48.1267,16.2293 48.1273);Kaltenleutgebner Straße
LINESTRING (16.2214 48.1544,16.2216 48.1542);Gütenbachbrücke 2
LINESTRING (16.223 48.2052,16.2225 48.2048,16.2214 48.2046);Johann-Schorsch-Gasse
LINESTRING (16.2214 48.2046,16.2232 48.2047);Johann-Schorsch-Gasse
LINESTRING (16.2214 48.1371,16.2228 48.137,16.224 48.1371,16.2286 48.1379,16.2302 48.138,16.2372 48.1382,16.2397 48.1378);Breitenfurter Straße
LINESTRING (16.2215 48.2126,16.2228 48.2122);Parkgasse
LINESTRING (16.2216 48.1542,16.2225 48.1534);Gütenbachstraße
LINESTRING (16.2218 48.2107,16.2219 48.2117);Kunersdorfgasse
LINESTRING (16.2218 48.2072,16.2221 48.2067);Wientalstraße
LINESTRING (16.2228 48.2074,16.2218 48.2072);Albert-Schweitzer-Gasse
LINESTRING (16.2219 48.2117,16.2223 48.212);Postgasse
LINESTRING (16.2221 48.2067,16.2237 48.204,16.2246 48.2035,16.2262 48.2035);Wientalstraße
LINESTRING (16.2305 48.2056,16.2293 48.2058,16.2242 48.2057,16.2229 48.206,16.2221 48.2067);Wientalstraße
LINESTRING (16.2222 48.2102,16.2221 48.2094);Pevetzgasse
LINESTRING (16.2244 48.2101,16.2222 48.2102);Josef-Prokop-Straße
LINESTRING (16.2223 48.212,16.2228 48.2122);Postgasse
LINESTRING (16.2223 48.2107,16.2257 48.2105);Bahnstraße
LINESTRING (16.2225 48.1534,16.2225 48.1533);Gütenbachstraße
LINESTRING (16.223 48.2106,16.223 48.2109,16.2227 48.2111);Gartengasse
LINESTRING (16.2231 48.2078,16.2228 48.2074);Albert-Schweitzer-Gasse
