WKT,zuordnung_,
"LINESTRING (16.216491704704914 48.124887098072165,16.216476637314674 48.12490208385951)",Wienergrabenstraße
"LINESTRING (16.216438862832941 48.124939653759917,16.216156012012643 48.12512409450904)",Wienergrabenstraße
"LINESTRING (16.215645244723788 48.125207939834922,16.215394932535723 48.125228052867087)",Wienergrabenstraße
"LINESTRING (16.209420607211239 48.209916007924498,16.209340464416197 48.209887836182325)",Herzmanskybrücke
"LINESTRING (16.209420607211239 48.209916007924498,16.212291107217627 48.210748507925835)",Herzmanskystraße
"LINESTRING (16.209524707211546 48.205635107915668,16.211031107214872 48.207558607919438,16.211591507216117 48.207738107919738,16.212742007218658 48.208546307921246)",Mühlbergstraße
"LINESTRING (16.209580007211368 48.224253007953997,16.209801907211869 48.22390510795325)",Mauerbachstraße
"LINESTRING (16.209801907211869 48.22390510795325,16.209840707211956 48.223823207953082)",Mauerbachstraße
"LINESTRING (16.209840707211956 48.223823207953082,16.209873807212038 48.223755107952918)",Kasgrabengewölbe
"LINESTRING (16.209873807212038 48.223755107952918,16.210126707212606 48.223313107952002)",Mauerbachstraße
"LINESTRING (16.210126707212606 48.223313107952002,16.211913607216601 48.222191607949441,16.216296907226422 48.218948207942184,16.218606407231583 48.217728207939388,16.219633507233887 48.216740607937197)",Mauerbachstraße
"LINESTRING (16.210682107214058 48.209760007924011,16.211011907214786 48.209861707924176)",Ludwiggasse
"LINESTRING (16.211011907214786 48.209861707924176,16.211656707216228 48.209952007924272,16.211998107216989 48.209847407924016)",Alois-Czedik-Gasse
"LINESTRING (16.211596807216086 48.210235607924851,16.212020607217038 48.210247007924849)",Herzmanskystraße
"LINESTRING (16.211998107216989 48.209847407924016,16.212594507218327 48.209193107922587)",Alois-Czedik-Gasse
"LINESTRING (16.212020607217038 48.210247007924849,16.211998107216989 48.209847407924016)",Alois-Czedik-Steg
"LINESTRING (16.212728707218613 48.210254607924767,16.212020607217038 48.210247007924849)",Herzmanskystraße
"LINESTRING (16.222985507241535 48.204458607911469,16.219537707233869 48.203948807910884,16.217048207228341 48.203315907909911,16.21435960722237 48.202318007908183,16.212028307217196 48.201120707906057)",Westautobahn
"LINESTRING (16.212122007217559 48.19064220788443,16.21221160721776 48.190717207884589)",Kaiserzipfbrücke
"LINESTRING (16.212498707218334 48.194698607892747,16.212191807217664 48.193938807891207,16.21226630721787 48.19077950788467,16.213467607220601 48.187676207878148)",Pulverstampfstraße
